Stock,AgeClass,Quarter,From,To,N,Nfr,p
EBFT,1,1,EATL,EATL,10,12,0.8333333333333334
EBFT,1,1,EATL,MED,1,12,0.08333333333333333
EBFT,1,1,EATL,WATL,1,12,0.08333333333333333
EBFT,1,1,MED,MED,5,5,1
EBFT,1,1,WATL,EATL,1,2,0.5
EBFT,1,1,WATL,WATL,1,2,0.5
EBFT,1,2,EATL,EATL,3,3,1
EBFT,1,2,MED,MED,10,10,1
EBFT,1,2,WATL,WATL,2,2,1
EBFT,1,3,EATL,EATL,18,19,0.9473684210526315
EBFT,1,3,EATL,MED,1,19,0.05263157894736842
EBFT,1,3,MED,EATL,1,10,0.1
EBFT,1,3,MED,MED,9,10,0.9
EBFT,1,3,WATL,WATL,1,1,1
EBFT,1,4,EATL,EATL,16,17,0.9411764705882353
EBFT,1,4,EATL,WATL,1,17,0.058823529411764705
EBFT,1,4,MED,EATL,1,11,0.09090909090909091
EBFT,1,4,MED,MED,10,11,0.9090909090909091
EBFT,1,4,WATL,WATL,1,1,1
EBFT,2,1,EATL,EATL,3,4,0.75
EBFT,2,1,EATL,MED,1,4,0.25
EBFT,2,1,MED,MED,26,26,1
EBFT,2,2,EATL,EATL,1,2,0.5
EBFT,2,2,EATL,MED,1,2,0.5
EBFT,2,2,MED,EATL,3,33,0.09090909090909091
EBFT,2,2,MED,MED,30,33,0.9090909090909091
EBFT,2,3,EATL,EATL,4,4,1
EBFT,2,3,MED,EATL,3,75,0.04
EBFT,2,3,MED,MED,72,75,0.96
EBFT,2,4,EATL,EATL,4,5,0.8
EBFT,2,4,EATL,MED,1,5,0.2
EBFT,2,4,MED,EATL,2,58,0.034482758620689655
EBFT,2,4,MED,MED,56,58,0.9655172413793104
EBFT,3,1,EATL,EATL,40,49,0.8163265306122449
EBFT,3,1,EATL,MED,9,49,0.1836734693877551
EBFT,3,1,MED,MED,6,6,1
EBFT,3,1,WATL,EATL,9,18,0.5
EBFT,3,1,WATL,MED,3,18,0.16666666666666666
EBFT,3,1,WATL,WATL,6,18,0.3333333333333333
EBFT,3,2,EATL,EATL,32,38,0.8421052631578947
EBFT,3,2,EATL,MED,5,38,0.13157894736842105
EBFT,3,2,EATL,WATL,1,38,0.02631578947368421
EBFT,3,2,MED,EATL,23,51,0.45098039215686275
EBFT,3,2,MED,MED,24,51,0.47058823529411764
EBFT,3,2,MED,WATL,4,51,0.0784313725490196
EBFT,3,2,WATL,EATL,1,6,0.16666666666666666
EBFT,3,2,WATL,WATL,5,6,0.8333333333333334
EBFT,3,3,EATL,EATL,47,47,1
EBFT,3,3,MED,MED,18,18,1
EBFT,3,3,WATL,EATL,1,12,0.08333333333333333
EBFT,3,3,WATL,WATL,11,12,0.9166666666666666
EBFT,3,4,EATL,EATL,48,51,0.9411764705882353
EBFT,3,4,EATL,MED,1,51,0.0196078431372549
EBFT,3,4,EATL,WATL,2,51,0.0392156862745098
EBFT,3,4,MED,MED,11,11,1
EBFT,3,4,WATL,EATL,4,16,0.25
EBFT,3,4,WATL,WATL,12,16,0.75
WBFT,3,1,GOM,GOM,34,38,0.8947368421052632
WBFT,3,1,GOM,WATL,4,38,0.10526315789473684
WBFT,3,1,WATL,EATL,1,45,0.022222222222222223
WBFT,3,1,WATL,GOM,29,45,0.6444444444444445
WBFT,3,1,WATL,WATL,15,45,0.3333333333333333
WBFT,3,2,EATL,WATL,1,1,1
WBFT,3,2,GOM,GOM,1,27,0.037037037037037035
WBFT,3,2,GOM,WATL,26,27,0.9629629629629629
WBFT,3,2,WATL,WATL,20,20,1
WBFT,3,3,WATL,GOM,3,60,0.05
WBFT,3,3,WATL,WATL,57,60,0.95
WBFT,3,4,GOM,GOM,5,5,1
WBFT,3,4,WATL,GOM,42,91,0.46153846153846156
WBFT,3,4,WATL,WATL,49,91,0.5384615384615384
