"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2017","WATL","Q3","'5-8",0.640529630711967,0.0192409473448893,232
"2018","WATL","Q3","'5-8",0.661919700216456,0.0211641068065288,207
"2019","WATL","Q3","'5-8",0.675711061467085,0.021881697690775,171
"2020","WATL","Q3","'5-8",0.702683680459948,0.0237162701460993,96
"2021","WATL","Q3","'5-8",0.657167067710817,0.0212785330388654,159
"2016","WATL","Q3","'5-8",0.559229356270962,0.0184024148400028,286
"2014","WATL","Q3","'5-8",0.613813690030894,0.0538632528562679,7
"2015","WATL","Q3","'5-8",0.654548154684287,0.0356417442152754,37
"2013","WATL","Q3","'5-8",0.563687875433317,0.0439788702400225,31
"2006","WATL","Q3","'5-8",0.618450328807896,0.0685627207717818,2
"2017","EATL","Q3","'5-8",0.291828555952132,0.0563590545925957,4
"2018","EATL","Q3","'5-8",0.271626506893793,0.0536337852292315,1
"2021","EATL","Q3","'5-8",0.231784165699385,0.0434935318584063,4
"2014","EATL","Q3","'5-8",0.289122533074765,0.0440924101643984,5
"2013","EATL","Q3","'5-8",0.266123532578081,0.0429877143734566,2
"2011","EATL","Q3","'5-8",0.254408675270342,0.0338519497560653,19
"2012","EATL","Q3","'5-8",0.246747593894395,0.0304030373660599,28
"2023","EATL","Q3","'5-8",0.213859759191628,0.0348083930449025,4
"2024","EATL","Q3","'5-8",0.215527756281081,0.0397924884773073,1
"2022","EATL","Q3","'5-8",0.21818679917029,0.0404275135690171,3
"2017","WATL","Q3","'9+",0.698576318566654,0.0111660355695157,721
"2018","WATL","Q3","'9+",0.7207283969546,0.00771963542721238,1373
"2019","WATL","Q3","'9+",0.740364560942128,0.00837057217964016,971
"2020","WATL","Q3","'9+",0.759523806580599,0.0084070122948721,836
"2021","WATL","Q3","'9+",0.735663192034007,0.00679132305133191,1578
"2016","WATL","Q3","'9+",0.582895046796153,0.014418509501895,651
"2014","WATL","Q3","'9+",0.592115338980025,0.0387198125664866,162
"2015","WATL","Q3","'9+",0.633986113163514,0.0226559706145488,293
"2013","WATL","Q3","'9+",0.690530088339644,0.0214375791357187,313
