"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2009","EATL","Q3","'0-4",0.18047502733816,0.0185389315950098,56
"2010","EATL","Q3","'0-4",0.166846014631923,0.01313913237254,104
"2011","EATL","Q3","'0-4",0.189033774839378,0.0126499808441194,146
"2012","EATL","Q3","'0-4",0.209343638644053,0.0231932180880104,42
"2013","EATL","Q3","'0-4",0.244597160398575,0.0668916984962844,4
"2005","EATL","Q3","'0-4",0.202353050414832,0.0390164468213124,10
"2006","EATL","Q3","'0-4",0.255951842195575,0.0364462756566648,23
"2011","MED","Q3","'0-4",0.129734775598903,0.0103165666708004,95
"2007","MED","Q3","'0-4",0.141593035421926,0.0318173218274827,8
"2011","WATL","Q3","'0-4",0.316106184511572,0.0364536010135261,28
"2012","WATL","Q3","'0-4",0.337260807786455,0.0366412558821272,33
"2015","WATL","Q3","'0-4",0.366795962763553,0.0556659791766814,7
"2013","WATL","Q3","'0-4",0.315322894954117,0.0343020674474968,34
"2016","WATL","Q3","'0-4",0.373971938996099,0.0542553334526537,12
"2018","WATL","Q3","'0-4",0.431821420926853,0.0757142190747394,2
"2019","WATL","Q3","'0-4",0.41088834160491,0.0629866189747811,7
"2014","WATL","Q3","'0-4",0.33017748845997,0.0661900543796572,2
"2017","WATL","Q3","'0-4",0.418021608304809,0.0618837416654536,9
"1998","WATL","Q3","'0-4",0.535958494657368,0.0558047180367231,10
"1999","WATL","Q3","'0-4",0.67515824276614,0.0543428705430074,10
"2004","WATL","Q3","'0-4",0.613306673975067,0.0514771176923062,18
"2006","WATL","Q3","'0-4",0.707234073618327,0.0401824690969904,22
"2007","WATL","Q3","'0-4",0.647100642070326,0.0455324216812444,22
"1977","WATL","Q3","'0-4",0.644683558174192,0.0466174588197926,19
"2024","WATL","Q3","'0-4",0.595392224975915,0.1036158417189,1
"1976","WATL","Q3","'0-4",0.768196540625128,0.0259407766422586,46
"2009","EATL","Q3","'5-8",0.251925971813448,0.0260822013484983,45
"2010","EATL","Q3","'5-8",0.309771151632713,0.0389740242112961,6
"2011","EATL","Q3","'5-8",0.205536402190885,0.0271722108420861,38
"2012","EATL","Q3","'5-8",0.309192981474764,0.0443045893976249,3
"2018","EATL","Q3","'5-8",0.201151707837883,0.0550296246189786,1
"2019","EATL","Q3","'5-8",0.190584693059704,0.0556018413469033,1
"2017","EATL","Q3","'5-8",0.23597828378198,0.0575743309642633,1
"2011","MED","Q3","'5-8",0.124937010726171,0.0179790440345616,13
"2010","WATL","Q3","'5-8",0.387896060390335,0.0234803227085887,103
"2011","WATL","Q3","'5-8",0.40786539925123,0.0208404708882528,136
"2012","WATL","Q3","'5-8",0.436974080810759,0.0250261658196002,117
"2015","WATL","Q3","'5-8",0.443172944239743,0.024121710353748,108
"2013","WATL","Q3","'5-8",0.363585583226225,0.0184402599447179,173
"2016","WATL","Q3","'5-8",0.4242706692762,0.025283185276907,94
"2018","WATL","Q3","'5-8",0.518178165572328,0.0204012386856829,188
"2019","WATL","Q3","'5-8",0.417966081766959,0.0226302621356284,121
"2020","WATL","Q3","'5-8",0.412682994742775,0.0653687809916965,33
"2021","WATL","Q3","'5-8",0.47986429414467,0.0619463588974929,10
"2014","WATL","Q3","'5-8",0.426169107405865,0.017004829273512,225
"2017","WATL","Q3","'5-8",0.490479969398015,0.0223052629591149,145
"2022","WATL","Q3","'5-8",0.53539114053994,0.0728192685740251,1
"2023","WATL","Q3","'5-8",0.643848937521367,0.0538771668965699,16
"1977","WATL","Q3","'5-8",0.55777409843268,0.108749027137886,1
"2024","WATL","Q3","'5-8",0.724692823499216,0.0532832547881144,14
"2011","EATL","Q3","'9+",0.21138751051718,0.0408148787110176,28
"2012","EATL","Q3","'9+",0.254063772152105,0.0351064433795386,13
"2015","EATL","Q3","'9+",0.238697641172632,0.0369359523363089,3
